"","ID","householdID","communityID","xrtype","fa001","fa002","fa006","fe001","fe002","ff002_2","ff004_1","ff004_2","ff004_3","ff005bracket_min","ff012_1","ff012_3","ff013bracket_min","ff013bracket_max","fl020s6","fl022_1","fn014_w2_2_2_","fn017_w2"
"154","064028317001","0640283170","0640283",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","064028317002","0640283170","0640283",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","064028314002","0640283140","0640283",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","064028314001","0640283140","0640283",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","064028310001","0640283100","0640283",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","064028304001","0640283040","0640283",2,2,1,0,12,7,0,2200,0,0,0,0,0,0,0,0,0,0,24
"160","064028304002","0640283040","0640283",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","064028312001","0640283120","0640283",2,2,1,0,12,5,0,2000,0,0,0,0,0,0,0,0,0,0,30
"162","064028312002","0640283120","0640283",2,2,1,0,12,6,0,3000,0,0,0,0,0,0,0,0,0,0,15
"163","064028301001","0640283010","0640283",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","064028106001","0640281060","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","064028109001","0640281090","0640281",2,2,1,0,11,7,0,4000,0,0,0,0,0,0,0,0,0,0,25
"166","064028105002","0640281050","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","064028105003","0640281050","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","064028101002","0640281010","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","064028101001","0640281010","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","064028124001","0640281240","0640281",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","064028124002","0640281240","0640281",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","064028108002","0640281080","0640281",2,2,1,0,8,5,0,0,0,0,0,3000,0,0,0,0,0,0,0
"173","064028108003","0640281080","0640281",2,2,1,0,12,5,0,3000,0,0,0,0,0,0,0,0,0,20,37
"174","064028102001","0640281020","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","064028111001","0640281110","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","064028111002","0640281110","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","064028110003","0640281100","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","064028110002","0640281100","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","064028103002","0640281030","0640281",2,2,1,0,12,5,0,1400,0,0,0,0,0,0,0,0,0,0,41
"180","064028103001","0640281030","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","064028115002","0640281150","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","064028115001","0640281150","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","064028114002","0640281140","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","064028114001","0640281140","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","064028122001","0640281220","0640281",2,2,1,0,12,5,0,2000,0,0,0,0,0,0,0,0,0,0,0
"186","064028104001","0640281040","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36
"187","064028104002","0640281040","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","064028113002","0640281130","0640281",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","064028113001","0640281130","0640281",2,2,1,0,12,5,0,2400,0,0,0,0,0,0,0,0,0,0,0
"190","064028208002","0640282080","0640282",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","064028208001","0640282080","0640282",2,2,1,0,12,2,0,2300,0,0,0,0,0,0,0,0,0,0,42
"192","064028218002","0640282180","0640282",2,2,1,0,12,5,0,2000,0,0,0,0,0,0,0,0,0,0,37
"193","064028218001","0640282180","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"194","064028207002","0640282070","0640282",2,2,1,0,12,5,0,2200,0,10,0,0,0,0,0,0,0,0,0
"195","064028207001","0640282070","0640282",2,2,1,0,12,5,0,2800,0,10,0,0,0,0,0,0,0,20,40
"196","064028217001","0640282170","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","064028217002","0640282170","0640282",2,2,1,0,12,7,0,1500,0,0,0,0,0,0,0,0,0,0,0
"198","064028223001","0640282230","0640282",2,2,1,0,12,5,0,5000,3000,0,0,0,0,0,0,0,0,0,15
"199","064028205001","0640282050","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","064028203001","0640282030","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","064028203002","0640282030","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","064028213001","0640282130","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","064028221001","0640282210","0640282",2,2,1,0,12,6,0,2000,0,0,0,0,0,0,0,0,0,0,28
"204","064028221002","0640282210","0640282",2,2,1,0,12,7,0,2700,70,0,0,0,0,0,0,0,0,0,28
"205","064028226001","0640282260","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","064028226002","0640282260","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207","064028204003","0640282040","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","064028204002","0640282040","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","064028220001","0640282200","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","064028206001","0640282060","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","064028216001","0640282160","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","064028209001","0640282090","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","064028209002","0640282090","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214","064028219002","0640282190","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","064028219001","0640282190","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","064028211001","0640282110","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","064028224002","0640282240","0640282",2,2,1,0,10,5,0,4000,0,0,0,0,0,0,0,0,0,0,21
"218","064028224001","0640282240","0640282",2,2,1,0,12,6,0,4500,2000,0,0,0,0,0,0,0,0,0,20
"219","064028214001","0640282140","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
