ID,householdID,ga002,ga003s3,ga003s5,ga003s6,ga004_w3_1s1,ga004_w3_1s3,ga004_w3_1s5
064033102001,0640331020,NA,NA,NA,NA,NA,NA,NA
064033111002,0640331110,20000,NA,NA,NA,NA,NA,NA
064033111001,0640331110,20400,NA,NA,NA,NA,NA,NA
064033125001,0640331250,NA,NA,NA,NA,NA,NA,NA
064033125002,0640331250,NA,NA,NA,NA,NA,NA,NA
064033126002,0640331260,NA,NA,NA,NA,NA,NA,NA
064033126001,0640331260,NA,NA,NA,NA,NA,NA,NA
064033114002,0640331140,NA,NA,NA,NA,NA,NA,NA
064033114001,0640331140,NA,NA,NA,NA,NA,NA,NA
064033113001,0640331130,NA,NA,NA,NA,NA,NA,NA
064033113002,0640331130,NA,NA,NA,NA,NA,NA,NA
064033118001,0640331180,NA,NA,NA,NA,NA,NA,NA
064033112002,0640331120,NA,3,NA,NA,NA,NA,NA
064033112001,0640331120,NA,NA,NA,NA,NA,NA,NA
064033132001,0640331320,NA,NA,NA,NA,NA,NA,NA
064033131001,0640331310,12500,NA,NA,NA,NA,NA,NA
064033131002,0640331310,5000,NA,NA,NA,NA,NA,NA
064033115002,0640331150,NA,NA,NA,NA,NA,NA,NA
064033115001,0640331150,NA,NA,NA,NA,NA,NA,NA
064033104001,0640331040,NA,NA,NA,NA,NA,NA,NA
064033104002,0640331040,NA,NA,NA,NA,NA,NA,NA
064033105001,0640331050,NA,NA,NA,NA,NA,NA,NA
064033105002,0640331050,NA,NA,NA,NA,NA,NA,NA
064033107002,0640331070,NA,NA,NA,NA,NA,NA,NA
064033107001,0640331070,NA,NA,NA,NA,NA,NA,NA
060481308001,0604813080,NA,NA,NA,NA,NA,NA,NA
060481308002,0604813080,NA,NA,NA,NA,NA,NA,NA
060481310002,0604813100,NA,NA,NA,NA,NA,NA,NA
060481310001,0604813100,NA,NA,NA,NA,NA,NA,NA
060481301002,0604813010,NA,NA,NA,NA,NA,NA,NA
060481301001,0604813010,NA,NA,NA,NA,NA,NA,NA
060481312001,0604813120,NA,NA,NA,NA,NA,NA,NA
060481312002,0604813120,NA,NA,NA,NA,NA,NA,NA
060481322002,0604813220,NA,NA,NA,NA,NA,NA,NA
060481322001,0604813220,NA,NA,NA,NA,NA,NA,NA
060481303002,0604813030,NA,NA,NA,NA,NA,NA,NA
060481303001,0604813030,NA,NA,NA,NA,NA,NA,NA
060481325001,0604813250,NA,NA,NA,NA,NA,NA,NA
060481309003,0604813090,NA,NA,NA,NA,NA,NA,NA
060481309002,0604813090,NA,NA,NA,NA,NA,NA,NA
060481307002,0604813070,NA,NA,NA,NA,NA,NA,NA
060481307001,0604813070,5000,NA,NA,NA,NA,NA,NA
060481320001,0604813200,NA,NA,NA,NA,NA,NA,NA
060481320002,0604813200,NA,NA,NA,NA,NA,NA,NA
060481302001,0604813020,NA,NA,NA,NA,NA,NA,NA
060481313001,0604813130,NA,NA,NA,NA,NA,NA,NA
060481313002,0604813130,NA,NA,NA,NA,NA,NA,NA
060481331001,0604813310,NA,NA,NA,NA,NA,NA,NA
060481331002,0604813310,NA,NA,NA,NA,NA,NA,NA
060481316002,0604813160,15000,NA,NA,NA,NA,NA,NA
060481316001,0604813160,NA,NA,NA,NA,NA,NA,NA
060481326002,0604813260,NA,NA,NA,NA,NA,NA,NA
060481326001,0604813260,NA,NA,NA,NA,NA,NA,NA
060481328001,0604813280,NA,NA,NA,NA,NA,NA,NA
060481318001,0604813180,NA,3,NA,NA,NA,NA,NA
060481323001,0604813230,NA,NA,NA,NA,NA,NA,NA
060481327001,0604813270,4200,NA,NA,NA,NA,NA,NA
060481327002,0604813270,NA,NA,NA,NA,NA,NA,NA
060481317001,0604813170,NA,NA,NA,NA,NA,NA,NA
060481329001,0604813290,NA,NA,NA,NA,NA,NA,NA
060481329002,0604813290,NA,NA,NA,NA,NA,NA,NA
060481321001,0604813210,NA,NA,NA,NA,NA,NA,NA
060481321002,0604813210,NA,NA,NA,NA,NA,NA,NA
060481305001,0604813050,NA,NA,NA,NA,NA,NA,NA
060481332002,0604813320,NA,NA,NA,NA,NA,NA,NA
060481332001,0604813320,NA,NA,NA,NA,NA,NA,NA
060481304001,0604813040,NA,NA,NA,NA,NA,NA,NA
060481304002,0604813040,NA,NA,NA,NA,NA,NA,NA
060481330001,0604813300,NA,NA,NA,NA,NA,NA,NA
060481330002,0604813300,NA,NA,NA,NA,NA,NA,NA
060481319001,0604813190,2160,NA,NA,NA,NA,NA,NA
